StudyNo,Author,date_published,DOI,Title,Staus,date_first_admit,date_last_admit,date_fup,Country,Province/ region,Study Population,All patients discharged/ dead?,Study design,End point,los_group,Diseases status,Disease status definition,Treatment,Treatment definition,ICU definition (if applicable / available),age_group,plot_cat,covid_severity,grouped_by_severity,other_feature_comorbidity,trt_group,other_group,outcome,N,perc_male,perc_male_specific_for_group,Age range,age_med,age_q25,age_q75,age_mean,age_sd,age_min,age_max,age_specific_for_group,LOS (unspecified),LOS (non-ICU),LOS ICU,LOS high flow nasal cannula,Symptom onset to admission,Symptom onset to discharge or death,Symptom onset to ICU admission,Symptom onset to death,Length of invasive mechanical ventilation,Length of non invasive mechanical ventilation,Length of oxygden support,Treatment to discharge,Treatment to death,LOS_med,LOS_q25,LOS_q75,LOS_mean,LOS_sd,LOS_min,LOS_max,LOS_nonICU_med,LOS_nonICU_q25,LOS_nonICU_q75,LOS_ICU_med,LOS_ICU_q25,LOS_ICU_q75,LOS_ICU_mean,LOS_ICU_sd,onset_admission_mean,onset_admission_sd,onset_admission_median,onset_admission_q25,onset_admission_q75,onset_discharge_death_median,onset_discharge_death_q25,onset_discharge_death_q75,onset_discharge_death_range1,onset_discharge_death_range2,onset_icu_admission_mean,onset_icu_admission_sd,onset_icu_admission_median,onset_icu_admission_q25,onset_icu_admission_q75,invasive_mechanical_ventillation_median,invasive_mechanical_ventillation_q25,invasive_mechanical_ventillation_q75,oxygen_support_median,oxygen_support_q25,oxygen_support_q75,treatment_discharge_median,treatment_discharge_q25,treatment_discharge_q75,treatment_death_median,treatment_death_q25,treatment_death_q75,,Notes
20,Pan et al.,13/02/2020,10.1148/radiol.2020200370,Time Course of Lung Changes On Chest CT During Recovery From 2019 Novel Coronavirus (COVID-19) Pneumonia.,Published,12/01/2020,06/02/2020,,China,"Wuhan, Hubei","Patients with RT-PCR confirmed COVID-19 infection presenting at Union Hospital, Tongji Medical College. Patients with severe respiratory distress and/ or oxygen requirement at any time during the disease course were excluded.",Yes,Cohort,Discharge,general,,,,,,adult,main,Non-severe,N,,,,Alive,21,29,Y,40 ± 9 [25 -63] mean±SD [range],,,,40,9,25,63,Y,17 ± 4 [11 -26] mean±SD [range],,,,,,,,,,,,,,,,17,4,11,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Severe cases were excluded from this study.
21,Qi et al.,03/03/2020,10.1101/2020.03.01.20029397,"Epidemiological and clinical features of 2019-nCoV acute respiratory disease cases in Chongqing municipality, China: a retrospective, descriptive, multiple-center study",Pre-print,19/01/2020,16/02/2020,16/02/2020,China,Chongqing,"Laboratory-confirmed COVID-19 patients admitted to 3 designated-hospitals (Qianjiang central hospital of Chongqing, Chongqing three gorges central hospital and Chongqing public health medical center) in Chongqing provincial municipality",No,Cohort,Death or discharge (not clear),general,All,,,,,adult,main,All,Y,,,,All,164,55.8,Y,48 (35-65) [20-80] median (IQR) [range],48,35,65,,,20,80,Y,15 (11.5-16) [9-25] (median(IQR) [range]),,,,7 (3-10) median (IQR),,,,,,,,,15,11.5,16,,,9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patients still hospitalised at the end of the study. Not clear whether they have included patients still admitted to hospital or limited to only those that have been dead of discharged within their LOS estimate
,Qi et al.,,,,,,,,China,,,No,,,general,Severe,American Thoracic Society guideline,,,,adult,,Severe,Y,,,,All,44,78,Y,71.5 (65.8-77) [39-80],71.5,65.8,77,,,39,80,Y,20 (17.5-23.25) [14-25],,,,9 (6-12.75),,,,,,,,,20,17.5,23.25,,,14,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qi et al.,,,,,,,,China,,,No,,,general,Non-severe,,,,,adult,,Non-severe,Y,,,,All,120,50.7,Y,43 (32.5-57) [20-79],43,32.5,57,,,20,79,Y,14 (11-16) [9-16],,,,6 (3-9),,,,,,,,,14,11,16,,,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Qui et al,25/03/2020,10.1016/S1473-3099(20)30198-5,"Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study",Published,17/01/2020,,01/03/2020,China,"Wenzhou, Zhejiang","Paediatric patients (aged 0–16 years) with confirmed COVID-19 from electronic medical records in three hospitals in Zhejiang, China (Ningbo Women and Children's Hospital, The Third Affiliated Hospital of Wenzhou Medical University, and Wenzhou Central Hospital of Wenzhou)",Yes,Cohort,Discharge,general,Mild and moderate cases,,,,NA,pediatric,main,Non-severe,Y,,,,Alive,36,63.9,Y,"Age 8·3 (3·5, 1–16) mean (SD, range)",,,,8.3,3.5,1,16,Y,"14 (3, 10-20) mean (SD, range)",,,,,,,,,,,,,,,,14,3,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qui et al,,,,,,,,China,,,Yes,,Discharge,general,Mild cases,"Upper respiratory symptoms (eg, pharyngeal congestion, sore throat, and fever) for a short duration or asymptomatic infection; Positive RT-PCR test for SARS-CoV-2; No abnormal radiographic and septic presentation",,,,pediatric,,Mild,Y,,,,Alive,17,59,Y,"Age 7.5 (3·2, 1–16) mean (SD, range)",,,,7.5,3.2,1,16,Y,"12 (3, 10–16) mean (SD, range)",,,,,,,,,,,,,,,,12,3,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Qui et al,,,,,,,,China,,,Yes,,Discharge,general,Moderate cases,"Mild pneumonia; Symptoms such as fever, cough, fatigue, headache, and myalgia; No complications and manifestations related to severe conditions",,,,pediatric,,Moderate,Y,,,,Alive,19,68,Y,"Age 9.0 (3.6, 1–16) mean (SD, range)",,,,9,3.6,1,16,Y,"15 (4, 12–20) mean (SD, range)",,,,,,,,,,,,,,,,15,4,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Shen et al.,27/03/2020,10.1001/jama.2020.4783,Treatment of 5 Critically Ill Patients WithCOVID-19 With Convalescent Plasma,Published,20/01/2020,25/03/2020,25/03/2020,China,"Shenzhen, Guangdong","Laboratory-confirmed COVID-19 and acute respiratory distress syndrome (ARDS) who were admitted to Shenzhen Third People's Hospital who met the
 following criteria: severe pneumonia with rapid progression and continuously high viral load
 despite antiviral treatment; PAO2/FIO2 <300; and mechanical ventilation.",No,Cohort,Discharge (3) & still hospitalised (2),general,Severe (ARDS),,,,,adult,,Severe,N,,,,Alive,5,60,Y,[36-73],55,,,,,36,73,Y,,,,,2 [2-4] median [range],,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,Patients still hospitalised at the end of the study.
,Shen et al.,,,,,,,,China,,,No,,Discharge,general,,,,,,adult,main,Severe,N,,,,Alive,3,60,N,,55,,,,,36,73,N,"51, 53, 55 days",,,,,,,,,,,,,53,,,,,51,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Shi et al.,10/03/2020,10.21037/atm.2020.03.22,"A quickly, effectively screening process of novel corona virus disease 2019 (COVID-19) in children in Shanghai, China.",Published,19/01/2020,08/02/2020,15/02/2020,China,Shanghai,"Children admitted to outpatient and emergency department Children’s Hospital of Fudan University, Shanghai",No,Cohort,Study end (4 discharged - remaining 6 still hospitalised at study end),general,,,,,NA,pediatric,main,All,N,,,,Alive,10,50,Y,"7 months to 11 years, the average age is 6.0±4.2",,,,6,4.2,0.58,11,Y,10 days (average),,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only 4 patients had been discharged when LOS was calculated.
25,Shi et al.,08/04/2020,10.1101/2020.03.28.20046144,The potential of low molecular weight heparin to mitigate cytokine storm in severe covid-19 patients: a retrospective clinical study,Pre-print,02/02/2020,16/03/2020,,China,"Wuhan, Hubei","Patients with COVID-19 (severe clinical classification) treated at the Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Yes,Cohort,Discharge,general,,,Heparin,low 50 molecular weight heparin (LMWH),,adult,main,Severe,N,,Heparin,Heparin,Alive,21,62,Y,69 [42-91] median [range],69,,,,,42,91,Y,29 (17-42) (IQR),,,,,,,,,,,,,29,17,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No critical cases
,Shi et al.,,,,,,,,China,,,Yes,,,general,,,Control,,,adult,main,Severe,N,,Control,Control,Alive,21,67,Y,69 [40-84],69,,,,,40,84,Y,27 (24-31),,,,,,,,,,,,,27,24,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Shi et al.,25/03/2020,10.1001/jamacardio.2020.0950,"Association of Cardiac Injury With Mortality in Hospitalized Patients With COVID-19 in Wuhan, China.",Published,20/01/2020,10/02/2020,15/02/2020,China,"Wuhan, Hubei",Patients with laboratory-confirmed COVID-19 admitted to Renmin Hospital,No,Cohort,Death,general,Cardiac injury,"blood levels of cardiac biomarkers (hs-TNI) above the 99th-percentile upper reference limit, regardless of new abnormalities in electrocardiography and echocardiograph",,,,adult,main,All,N,Cardiac injury,,Cardiac injury,Dead,42,53.7,Y,74 (34-95),74,,,,,34,95,Y,6.3 (1 - 16) mean (range),,,,,,,15.6 (1 - 37) mean(range),,,,,,,,,6.3,,1,16,,,,,,,,,,,,,,15.6,,,1,37,,,,,,,,,,,,,,,,,,,Only report LOS for those who have died: 77% remained in hospital
,Shi et al.,,,,,,,,China,,,No,,,general,No cardiac injury,,,,,adult,main,All,N,No cardiac injury,,No cardiac injury,Dead,15,48.2,Y,60 (21-90),60,,,,,21,90,Y,7.8 (1 - 23) mean (range),,,,,,,16.9 (3 -37) mean(range),,,,,,,,,7.8,,1,23,,,,,,,,,,,,,,16.9,,,3,37,,,,,,,,,,,,,,,,,,,
27,Shi et al.,24/02/2020,10.1016/S1473-3099(20)30086-4,"Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study.",Published,20/12/2020,23/01/2020,08/02/2020,China,"Wuhan, Hubei",Patients with confirmed COVID-19 admitted to Wuhan Jinyintan hospital or Union Hospital of Tongji Medical College,No,Cohort,Discharge,general,type 1,"initial progression to peak level, followed by radiographic improvement",,,,adult,main,All,N,type 1,,type 1,Alive,24,,,,,,,,,,,,25 (20–27) median (IQR),,,,,,,,,,,,,25,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patients still hospitalised at the end of the study.
,Shi et al.,,,,,,,,China,,,No,,,general,type 3,radiographic improvement,,,,adult,main,All,N,type 3,,type 3,Alive,5,,,,,,,,,,,,19 (11-25) median (IQR),,,,,,,,,,,,,19,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Spiteri et al.,05/03/2020,10.2807/1560-7917.ES.2020.25.9.2000178,"First cases of coronavirus disease 2019 (COVID-19) in the WHO European Region, 24 January to 21 February 2020.",Published,24/01/2020,21/02/2020,21/02/2020,EU/EEA,EU/EEA,European surveillance data of confirmed COVID-19 patients,No,Cross-sectional,Discharge,general,,,,,,adult,main,All,N,,,,Alive,16,,,,,,,,,,,,13 (8–23) median (range),,,,,,,,,,,,,13,,,,,8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patients still hospitalised at the end of the study.
,Spiteri et al.,,,,,,,,EU/EEA,,,No,,Death,general/ICU,,,,,,adult,main,All,N,,,,Dead,1,,,,,,,,,,,,21,,19,,,,,,,,,,,21,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Tang et al.,26/03/2020,10.1016/j.chest.2020.03.032,Comparison of Hospitalized Patients with Acute Respiratory Distress Syndrome Caused by COVID-19 and H1N1,Published,24/12/2019,07/02/2020,,China,"Wuhan, Hubei",Patients with COVID-19-induced ARDS admitted to the Department of Pulmonary and Critical Care at Wuhan Pulmonary Hospital in Hubei Province of China,No,Case-control,Discharge or death,general,,,,,,adult,main,All,N,,,,All,73,61.6,Y,67 (57-72) median (IQR),67,57,72,,,,,Y,13 (10-18) median (IQR),,,,,,,,,,,,,13,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not clear whether LOS included patients remaining in hospital, or if they were excluded"
30,Tian et al.,23/03/2020,10.1101/2020.03.21.20038778,"Clinical characteristics and reasons of different duration from onset to release from quarantine for patients with COVID-19 Outside Hubei province, China.",Pre-print,Not provided,Not provided,Not provided,China,"Liaocheng, Shandong",Not stated,Yes,Cohort,Unknown,general,"mild (13.5%), moderate (81.1%), severe (2.7%), and critical (2.7%)",,,,,adult,main,All,N,,,,All,37,45.9,Y,44.3±1.67,,,,44.3,1.67,,,Y,"16.1 ±6.2 [7,32]",,,,4.1±3.7,,,,,,,,,,,,16.1,6.2,7,32,,,,,,,,,4.1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not clear what the study population is; location and hospital have been assumed, and study dates have not been provided. Patients still hospitalised at the end of the study."
31,Wang et al.,20/03/2020,10.1016/j.jinf.2020.03.019,Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up,Published,01/01/2020,06/02/2020,05/03/2020,China,"Wuhan, Hubei","All confirmed cases of COVID-19 over 60 years old admitted to Renmin Hospital of Wuhan University in Wuhan, China.",No,Cohort,"Discharge, hospitalised, or death",general,,,,,,elderly,main,All,N,,,,All,339,49,Y,69 (65-76) median (IQR),69,65,76,,,,,Y,28 (15-28) median (IQR),,,,10 (7-14) median (IQR),,,,,,,,,28,15,28,,,,,,,,,,,,,,,10,7,14,,,,,,,,,,,,,,,,,,,,,,,,"LOS was provided for survivors, however not all survivors had been discharged (91/274), and so this estimate includes still-hospitalised patients."
,Wang et al.,,,,,,,,China,,,No,,Discharge or hospitalised,general,,,,,,elderly,main,All,N,,,,Alive,274,46.4,Y,68 (64-74),68,64,74,,,,,Y,28 (26-29),,,,10 (7-13),,,,,,,,,28,26,29,,,,,,,,,,,,,,,10,7,13,,,,,,,,,,,,,,,,,,,,,,,,
,Wang et al.,,,,,,,,China,,,No,,Death,general,,,,,,elderly,main,All,N,,,,Dead,65,60,Y,76 (70-83),76,70,83,,,,,Y,5 (3-8),,,,10 (7-14),,,,,,,,,5,3,8,,,,,,,,,,,,,,,10,7,14,,,,,,,,,,,,,,,,,,,,,,,,
32,Xia et al.,26/02/2020,10.1002/ppul.24718,Clinical and CT features in pediatric patients with COVID-19 infection: Different points from adults.,Published,23/01/2020,08/02/2020,18/02/2020,China,"Wuhan, Hubei",Pediatric inpatients with COVID-19 infection confirmed by pharyngeal swab in Wuhan Children's hospital,No,Cohort,Discharge,general,,,,,,pediatric,main,All,N,,,,Alive,18,65,Y,2y [1 day - 14y] median [range],2,,,,,0.00273973,14,Y,12.9 [8 -20] average [range],,,,,,,,,,,,,,,,12.9,,8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Statistic used for LOS not completely clear. 2 neonates remain under observation but had negative CT findings.
33,Wu et al.,2020-02-30,10.1101/2020.02.26.20028589,Heart injury signs are associated with higher and earlier mortality in coronavirus disease 2019 (COVID-19),Pre-print,26/12/2019,28/01/2020,12/02/2020,China,"Wuhan, Hubei",COVID-19 patients admitted to Wuhan Jinyintan Hospital,Yes,Cohort,Discharge,general,,,,,,adult,main,All,N,,,,Alive,145,63.3,N,,,,,51.9,14.26,,,N,12 (9-14),,,,,,,,,,,,,12,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wu et al.,,,,,,,,China,,,Yes,,Death,general,,,,,,adult,main,All,N,,,,Dead,43,63.3,N,,,,,51.9,14.26,,,N,7 (4-11),,,,,,,,,,,,,7,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Wu et al.,29/02/2020,10.1093/cid/ciaa199,Clinical Characteristics of Imported Cases of COVID-19 in Jiangsu Province: A Multicenter Descriptive Study.,Published,22/01/2020,14/02/2020,14/02/2020,China,Jiangsu,"All admitted patients for COVID-19 to First People’s Hospital of Yancheng City, the Second People’s Hospital of Yancheng City, and the Fifth People’s Hospital of Wuxi.",No,Cohort,Discharge,general,,,,,,adult,main,All,N,,,,Alive,21,48.75,Y,46.10 ± 15.42,,,,46.1,15.42,,,Y,mean: 8,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 patients but LOS only reported for those discharged.
35,Wu et al.,13/03/2020,10.1001/jamainternmed.2020.0994,"Risk Factors Associated with Acute Respiratory Distress Syndrome and Death in Patients with Coronavirus Disease 2019 Pneumonia in Wuhan, China.",Published,25/12/2019,26/01/2020,13/02/2020,China,"Wuhan, Hubei",Confirmed COVID-19 pneumonia admitted to Wuhan Jinyintan Hospital,No,Cohort,Discharge,general,,,,,,adult,main,All,N,,,,Alive,144,63.7,Y,51 (43-60) median (IQR),51,43,60,,,,,Y,13 (10-16) median (IQR),,,,,,,,,,,,,13,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclear whether LOS included those who died. State that some of their cases have previously been described in other studies. Age and sex are regarding total population (including those remaining in hospital)
36,Xie et al.,02/04/2020,10.1111/liv.14449,Clinical characteristics of Non‐ICU hospitalized patients with coronavirus disease 2019 and liver injury：A Retrospective study,Published,02/02/2020,23/02/2020,,China,"Wuhan, Hubei",All laboratory-confirmed COVID-19 discharged patients from the non-ICU Ward at Wuhan Jinyintan Hospital,Yes,Cohort,,,all,,,,,adult,main,Non-severe,N,,,,Alive,79,55.7,Y,60 (48-66) median (IQR),60,48,66,,,,,Y,,,,,12 median,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,"Non-ICU LOS reported. Study dates are based on discharge dates, not admission dates."
,Xie et al.,,,,,,,,China,,,Yes,,,general,with liver injury,,,,,adult,,Non-severe,N,with liver injury,,with liver injury,Alive,50,44.7,Y,56(45-65),56,45,65,,,,,Y,,11.4 (8.5-14),,,,,,,,,,,,,,,,,,,11.4,8.5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Xie et al.,,,,,,,,China,,,Yes,,,general,without liver injury,,,,,adult,,Non-severe,N,without liver injury,,without liver injury,Alive,29,72.4,Y,62 (46-67),62,46,67,,,,,Y,,15.4 (11-16.8),,,,,,,,,,,,,,,,,,,15.4,11,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Xu et al.,26/03/2020,10.1101/2020.03.24.20042408,Acute kidney injury at early stage as a negative prognostic indicator of patients with COVID-19: a hospital-based retrospective analysis,Pre-print,01/01/2020,20/02/2020,,China,Hubei/Anhui,"Patients with confirmed COVID-19 admitted to Union Hospital of Huazhong University of Science and Technology; and COVID-19 patients admitted to the Second People’s Hospital of Fuyang City, in Anhui province.",No,Cohort,Death or discharge,general,,,,,,adult,main,All,N,,,,All,355,54.4,Y,< 50 (45%); 50-69 (41.6%); >=70 (13.2%),59.5,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not clear whether patients remain in hospital at the study end. LOS only mentioned amongst those with AKI who died. Sex/age distribution not specified for this subgroup.
,Xu et al.,,,,,,,,China,,,No,,Death,general,,,,,,adult,,All,N,Acute kidney injury (AKI),,Acute kidney injury (AKI),Dead,56,54.4,N,,59.5,,,,,,,N,10.9 mean,,,,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Yan et al.,30/03/2020,10.1101/2020.03.22.20040832,Factors associated with prolonged viral shedding and impact of Lopinavir/Ritonavir treatment in patients with SARS-CoV-2 infection,Pre-print,31/01/2020,09/03/2020,,China,Hubei,"Hospitalized, non-critically ill patients with COVID-19 admitted to NO.3 People’s Hospital of Hubei province, that had the available RNA viral data to estimate the duration of viral shedding.",No,,Discharge,general,,,,,,adult,main,All,N,,,,Alive,120,45,Y,52 (35-63) median(IQR),52,35,63,,,,,Y,21 (17-26) median (IQR),,,,,,,,,,,,,21,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Investigating viral shedding so only included patients with RNA viral data. Most patients (99.2%) in the cohort were non-critically ill patients with COVID-19 due to triage strategies. Had 168 pateints admitted over the study period, only reported LOS for 120 that had been discharged."
,Yan et al.,,,,,,,,China,,,No,,,general,,,Lopinavir/Ritonavir,"LPV/ r (400mg and 100mg , orally, twice daily",,adult,,All,N,,Lopinavir/Ritonavir,Lopinavir/Ritonavir,Alive,78,44.9,Y,50 (34-61),50,34,61,,,,,Y,23 (19-27),,,,,,,,,,,,,23,19,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yan et al.,,,,,,,,China,,,No,,,general,,,Control,,,adult,,All,N,,Control,Control,Alive,42,45.2,Y,57 (36.5-66),57,36.5,66,,,,,Y,18.5 (13-22.5),,,,,,,,,,,,,18.5,13,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Deng et al.,20/03/2020,10.1097/CM9.0000000000000824,"Clinical characteristics of fatal and recovered cases of coronavirus disease 2019 (COVID-19) in Wuhan, China: a retrospective study.",Published,01/01/2020,,21/02/2020,China,"Wuhan, Hubei","Recovered and dead patients admitted two tertiary hospitals in Wuhan (Hankou and Caidian branch of Tongji Hospital, Tongji Medical College, Huazhong University of Science & Technology, and Hankou branch of Central Hospital of Wuhan)",Yes,Cohort,Discharged,general,,,,,,adult,main,All,N,,,,Alive,116,44,Y,"40 (33, 57) median (Q1,Q3)",40,33,57,,,,,Y,"16 (12, 20) median (Q1,Q3)",,,,"7.0 (5.0, 10.0) median (IQR)",,,,,,,,,16,12,20,,,,,,,,,,,,,,,7,5,10,,,,,,,,,,,,,,,,,,,,,,,,"Only enrolled dead and discharged patients within the study, so data is still censored."
,Deng et al.,,,,,,,,China,,,Yes,,Death,general,,,,,,adult,main,All,N,,,,Dead,109,67,Y,"69 (62, 74) median (Q1,Q3)",69,62,74,,,,,Y,"8 (4, 13) median (Q1,Q3)",,,,"10.0 (6.5, 12.0) median (IQR)",,,,,,,,,8,4,13,,,,,,,,,,,,,,,10,6.5,12,,,,,,,,,,,,,,,,,,,,,,,,
40,Yang et al.,24/02/2020,10.1016/S2213-2600(20)30079-5,"Clinical course and outcomes of critically ill patients with SARS-CoV-2 pneumonia in Wuhan, China: a single-centered, retrospective, observational study.",Published,24/12/2019,26/01/2020,09/02/2020,China,"Wuhan, Hubei",Critically ill adult patients with SARS-CoV-2 pneumonia who were admitted to the intensive care unit (ICU) of Wuhan Jin Yin-tan hospital,Yes,"single-centered, retrospective, observational study",Death,ICU,critically ill,those admitted to the intensive care unit (ICU) who required mechanical ventilation or had a fraction of inspired oxygen (FiO2) of at least 60% or more.,,,,adult,main,Severe,N,,,,Dead,32,66,Y,64·6 (11·2) mean (SD),,,,64.6,11.2,,,Y,,,7 (I3–11) median (IQR),,,,11 (7–14) median (IQR),,,,,,,,,,,,,,,,,7,3,11,,,,,,,,,,,,,,,11,7,14,,,,,,,,,,,,,,LOS only presented for those that have died.
,Yang et al.,,,,,,,,China,,,Yes,,Survivors,,,,,,,adult,main,Severe,N,,,,Alive,20,70,Y,51·9 (12·9),,,,51.9,12.9,,,Y,,,,,,,9 (6–12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,12,,,,,,,,,,,,,,
41,Yuan et al.,29/03/2020,10.1007/s00011-020-01342-0,The correlation between viral clearance and biochemical outcomes of 94 COVID-19 infected discharged patients,Published,11/01/2020,04/02/2020,13/02/2020,China,"Shenzhen, Guangdong",Confirmed COVID-19 patients which were admitted and subsequently discharged from Shenzhen Third People’s Hospital.,Yes,Cohort,Discharged,general,All patients,,,,,adult,main,All,Y,,,,Alive,94,44.7,Y,40 (1–78) median (range),40,,,,,1,78,Y,14.28 (13.61–14.95) mean (95%CI),,,,,,,,,,,,,,,,14.28,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Study dates in abstract and main text differ (abstract: 5th Jan to Feb 13th; main text: 11th Jan to Feb 4th with follow-up to Feb 13th)
,Yuan et al.,,,,,,,,China,,,Yes,,Discharged,general,Mild,,,,,adult,,Mild,Y,,,,Alive,8,37.5,Y,19 (7–39) median (range),19,,,,,7,39,Y,12.88 (11.36–14.39) mean (95%CI),,,,,,,,,,,,,,,,12.88,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yuan et al.,,,,,,,,China,,,Yes,,Discharged,general,Moderate,,,,,adult,,Moderate,Y,,,,Alive,75,45.3,Y,40 (1–78) median (range),40,,,,,1,78,Y,14.12 (13.34–14.90) mean (95%CI),,,,,,,,,,,,,,,,14.12,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yuan et al.,,,,,,,,China,,,Yes,,Discharged,general,Severe,,,,,adult,,Severe,Y,,,,Alive,11,45.5,Y,63 (32–69) median (range),63,,,,,32,69,Y,16.36 (14.79–17.93) mean (95%CI),,,,,,,,,,,,,,,,16.36,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Zhang et al.,06/03/2020,10.1101/2020.03.02.20030452,"Clinical features and outcomesof 221 patients with COVID-19 in Wuhan, China",Pre-print,02/01/2020,10/02/2020,15/02/2020,China,"Wuhan, Hubei",Confirmed COVID-19 patients admitted to Zhongnan Hospital of Wuhan University,No,Cohort,Discharge to ward,ICU,,,,,,adult,main,All,N,,,,Alive,23,65.2,Y,62.0(49.0-71.0),62,49,71,,,,,Y,,,8.0(5.0-13.0) median IQR,,,,10.0(7.0-12.0) median IQR,,,,,,,,,,,,,,,,,8,5,13,,,,,,,,,,,,,,,10,7,12,,,,,,,,,,,,,,Patients still hospitalised at the end of the study.
,Zhang et al.,,,,,,,,China,,,No,,Death in ICU,ICU,,,,,,adult,main,All,N,,,,Dead,9,77.8,Y,76.0(57.5-81.5),76,57.5,81.5,,,,,Y,,,11.0(4.5-14.5) median IQR,,,,11.0(8.0-12.0) median IQR,,,,,,,,,,,,,,,,,11,4.5,14.5,,,,,,,,,,,,,,,11,8,12,,,,,,,,,,,,,,
43,Zhang et al.,26/03/2020,10.1101/2020.03.24.20042655,"COVID-19 infection induces readily detectable morphological and inflammation-related phenotypic changes in peripheral blood monocytes, the severity of which correlate with patient outcome",Pre-print,,,,China,Shaanxi,Confirmed COVID-19 patients admitted to Xi’an No.8 Hospital (Shaanxi Provincial Infectious Disease Hospital) and the First Affiliated Hospital of Xi’an Jiaotong University,No,,,,All,,,,,adult,main,All,Y,,,,Alive,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doesn't describe patient characteristics and statistic for non-ICU LOS not specified
,Zhang et al.,,,,,,,,China,,,No,,,general,Non-ICU,,,,,adult,,Non-severe,Y,,,,Alive,25,,,,,,,,,,,,16.24 ± 2.39,,,,,,,,,,,,,,,,16.24,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
